Variable Name,Variable Label,Domain,Data Source,Topic,Data Type,X2023,X2022,X2021,X2020,X2019,X2018,X2017,X2016,X2015,X2014,X2013,X2011,X2010,X2009
FCC_res_connections_200_kbps,Residential Fixed Broadband Connections with a Downstream Speed of at least 200 Kbps ,Physical Infrastructure,Federal Communications Commission Form 477,Broadband Adoption,num,X,X,X,X,X,X,X,X,X,X,X,X,X,X
FCC_res_connections_768_kbps,Residential Fixed Broadband Connections with a Downstream Speed of at least 768 Kbps ,Physical Infrastructure,Federal Communications Commission Form 477,Broadband Adoption,num,,,,,,,,,,,X,X,X,X
FCC_res_connections_3_mbps,Residential Fixed Broadband Connections with a Downstream Speed of at least 3 Mbps ,Physical Infrastructure,Federal Communications Commission Form 477,Broadband Adoption,num,,,,,,,,,,,X,X,X,X
FCC_res_connections_10_mbps,Residential Fixed Broadband Connections with a Downstream Speed of at least 10 Mbps,Physical Infrastructure,Federal Communications Commission Form 477,Broadband Adoption,num,X,X,X,X,X,X,X,X,X,X,X,X,X,X
FCC_res_connections_25_mbps,Residential Fixed Broadband Connections with a Downstream Speed of at least 25 Mbps,Physical Infrastructure,Federal Communications Commission Form 477,Broadband Adoption,num,X,X,X,X,X,X,X,X,X,X,,,,
FCC_res_connections_100_mbps,Residential Fixed Broadband Connections with a Downstream Speed of at least 100 Mbps,Physical Infrastructure,Federal Communications Commission Form 477,Broadband Adoption,num,X,X,X,X,X,X,X,X,X,X,,,,
FCC_county_consumer_connections,"Integer Residential Fixed High-Speed Connections over 200 kbps in at least one direction, in thousands",Physical Infrastructure,Federal Communications Commission Form 477,Broadband Adoption,num,X,X,X,X,X,X,X,X,X,X,X,X,X,X
FCC_county_non_consumer_connections,"Integer Non-residential Fixed High-Speed Connections over 200 kbps in at least one direction, in thousands",Physical Infrastructure,Federal Communications Commission Form 477,Broadband Adoption,num,X,X,X,X,X,X,X,X,X,X,X,X,X,X
FCC_county_all_connections,"Integer Total Fixed High-Speed Connections over 200 kbps in at least one direction, in thousands",Physical Infrastructure,Federal Communications Commission Form 477,Broadband Adoption,num,X,X,X,X,X,X,X,X,X,X,X,X,X,X
CDCW_crude_death_rate,"Total deaths per 100,000 population",Health,CDCW,Health outcomes,num,X,X,X,X,X,X,X,X,X,X,X,X,X,X